00:01:15.467, 1, green, Exit
00:01:15.467, 2, green, Entry
00:01:15.567, 1, orange, Exit
00:01:15.567, 2, orange, Entry
00:01:16.267, 2, orange, Exit
00:01:16.267, 1, orange, Entry
00:01:17.633, 1, orange, Exit
00:01:17.633, 4, orange, Entry
00:01:26.367, 4, orange, Exit
00:01:26.367, 1, orange, Entry
00:01:27.400, 1, orange, Exit
00:01:27.400, 2, orange, Entry
00:01:27.433, 2, orange, Exit
00:01:27.433, 3, orange, Entry
00:01:27.667, 3, orange, Exit
00:01:27.667, 2, orange, Entry
00:01:27.767, 2, orange, Exit
00:01:27.767, 1, orange, Entry
00:01:33.300, 1, orange, Exit
00:01:33.300, 4, orange, Entry
00:01:33.333, 4, orange, Exit
00:01:33.333, 1, orange, Entry
00:01:33.433, 1, orange, Exit
00:01:33.433, 2, orange, Entry
00:01:33.600, 2, orange, Exit
00:01:33.600, 1, orange, Entry
00:01:33.667, 1, orange, Exit
00:01:33.667, 2, orange, Entry
00:01:33.733, 2, orange, Exit
00:01:33.733, 1, orange, Entry
00:01:33.767, 1, orange, Exit
00:01:33.767, 2, orange, Entry
00:01:33.867, 2, orange, Exit
00:01:33.867, 1, orange, Entry
00:01:33.900, 1, orange, Exit
00:01:33.900, 2, orange, Entry
00:01:34.367, 2, orange, Exit
00:01:34.367, 1, orange, Entry
00:01:35.400, 1, orange, Exit
00:01:35.400, 2, orange, Entry
00:01:35.767, 2, orange, Exit
00:01:35.767, 1, orange, Entry
00:01:35.833, 1, orange, Exit
00:01:35.833, 2, orange, Entry
00:01:36.233, 2, orange, Exit
00:01:36.233, 1, orange, Entry
00:01:38.033, 2, green, Exit
00:01:38.033, 1, green, Entry
00:01:38.167, 1, green, Exit
00:01:38.167, 4, green, Entry
00:01:38.467, 1, orange, Exit
00:01:38.467, 4, orange, Entry
00:01:38.667, 4, orange, Exit
00:01:38.667, 1, orange, Entry
00:01:39.700, 1, yellow, Exit
00:01:39.700, 2, yellow, Entry
00:01:39.700, 1, orange, Exit
00:01:39.700, 2, orange, Entry
00:01:39.733, 2, orange, Exit
00:01:39.733, 3, orange, Entry
00:01:39.767, 2, yellow, Exit
00:01:39.767, 3, yellow, Entry
00:01:39.767, 3, orange, Exit
00:01:39.767, 4, orange, Entry
00:01:39.800, 4, orange, Exit
00:01:39.800, 3, orange, Entry
00:01:39.833, 3, orange, Exit
00:01:39.833, 1, orange, Entry
00:01:39.867, 1, orange, Exit
00:01:39.867, 4, orange, Entry
00:01:40.100, 4, orange, Exit
00:01:40.100, 3, orange, Entry
00:01:40.233, 3, orange, Exit
00:01:40.233, 4, orange, Entry
00:01:40.400, 4, orange, Exit
00:01:40.400, 1, orange, Entry
00:01:40.533, 1, orange, Exit
00:01:40.533, 4, orange, Entry
00:01:40.567, 4, orange, Exit
00:01:40.567, 1, orange, Entry
